Opština,Ukupno,Žene,Procenat Žene,SSS – I Total,SSS – I Žene,SSS – II Total,SSS – II Žene,SSS – III Total,SSS – III Žene,SSS – IV Total,SSS – IV Žene,SSS – V Total,SSS – V Žene,SSS – VI Total,SSS – VI Žene,SSS – VII-1 Total,SSS – VII-1 Žene,SSS – VII-2 Total,SSS – VII-2 Žene,SSS – VIII Total,SSS – VIII Žene
Andrijevica ,867,467,53.86,327,192,16,5,219,101,259,138,1,0,4,3,40,28,1,0,0,0
Berane,4651,2615,56.22,1540,888,124,91,1014,544,1526,853,2,0,57,29,372,200,14,9,2,1
Budva,951,623,65.51,176,108,26,18,149,106,313,216,4,1,35,22,233,143,13,9,2,0
Bijelo Polje,3866,2325,60.14,1164,744,167,104,915,473,1020,662,20,3,55,23,512,306,13,10,0,0
Bar,2269,1426,62.85,533,343,77,50,377,197,680,447,9,3,69,45,509,333,15,8,0,0
Cetinje,1311,713,54.39,359,176,42,26,175,86,447,248,2,1,16,5,261,167,8,4,1,0
Danilovgrad ,1111,679,61.12,285,173,35,29,255,135,377,253,3,0,4,1,146,83,6,5,0,0
Golubovci,779,477,61.23,210,132,33,14,152,86,272,166,5,1,6,4,100,73,1,1,0,0
Gusinje,650,356,54.77,352,234,1,0,99,28,138,63,4,2,5,2,48,25,3,2,0,0
Herceg Novi,906,563,62.14,93,56,58,31,191,99,251,173,3,1,46,28,252,169,11,5,1,1
Kolašin,920,482,52.39,300,163,27,22,222,98,271,144,5,1,6,2,84,50,5,2,0,0
Kotor,476,264,55.46,33,13,20,13,84,30,144,86,1,0,28,8,160,112,4,1,2,1
Mojkovac,839,503,59.95,213,139,30,22,283,138,216,145,3,1,7,4,87,54,0,0,0,0
Nikšić,4292,2711,63.16,489,293,168,113,907,502,1422,930,10,0,81,62,1158,775,52,32,5,4
Podgorica,8161,4983,61.06,2334,1360,285,194,1092,580,2321,1502,30,2,107,64,1922,1240,65,38,5,3
Plav,1861,1032,55.45,936,620,18,6,297,110,459,235,6,3,11,4,125,50,8,4,1,0
Petnjica,1108,625,56.41,794,517,31,15,137,28,125,55,1,1,2,1,18,8,0,0,0,0
Pljevlja,2445,1451,59.35,605,352,106,65,542,277,862,565,10,0,23,13,285,173,12,6,0,0
Plužine,236,118,50.00,45,23,2,1,76,34,76,37,3,0,2,2,31,20,0,0,1,1
Rožaje,3854,2110,54.75,2126,1350,23,7,761,272,576,305,4,0,30,13,320,154,13,8,1,1
Šavnik,76,36,47.37,16,12,1,0,15,5,29,11,0,0,2,2,13,6,0,0,0,0
Tivat,615,354,57.56,115,62,23,16,117,46,186,120,11,0,15,8,142,100,6,2,0,0
Tuzi,882,495,56.12,448,256,17,7,104,51,198,118,1,1,4,0,104,59,6,3,0,0
Ulcinj,1535,904,58.89,483,295,47,22,238,123,343,216,7,1,21,7,353,217,40,22,3,1
Žabljak,150,88,58.67,19,9,2,2,16,8,64,36,2,0,2,1,45,32,0,0,0,0
